Hero	Elims	Obj kills	OV s	Dmg	H	OT mins	OT secs	Pick rate	Win rate	KDA	Solo kills	Final blows	Role
Ana	9.89	3.88	54	3240	7319	0	54	7.50	48.29	4.31	0.31	2.53	Support
Ashe	17.45	8.85	45	8763	0	0	45	3.64	50.61	3.24	1.54	8.35	DPS
Baptiste	11.93	4.68	52	4239	7894	0	52	1.99	46.11	4.49	0.71	4.06	Support
Bastion	19.69	7.76	54	9844	0	0	54	1.50	46.09	3.09	1.23	9.55	DPS
Brigitte	13.22	4.61	77	3954	7605	1	17	2.54	51.59	4.77	0.45	3.66	Support
Cassidy	17.99	6.18	47	8100	0	0	47	4.56	47.22	2.72	1.57	9.80	DPS
DiVa	21.24	5.91	102	7880	0	1	42	2.65	49.53	6.81	1.41	9.99	Tank
Doomfist	17.97	5.55	76	7809	150	1	16	1.71	49.73	3.58	1.5	9.20	Tank
Echo	18.62	5.89	52	8519	138	0	52	1.17	46.00	2.66	1.60	8.80	DPS
Genji	18.21	5.06	56	7616	0	0	56	3.04	50.37	2.64	1.61	9.66	DPS
Hanzo	16.93	5.50	42	7720	0	0	42	1.69	45.13	2.98	2.19	9.28	DPS
Illari	12.93	4.91	47	5129	7490	0	47	1.06	49.84	3.82	0.78	4.74	Support
Junker Queen	20.77	7.63	101	9991	2065	1	41	2.03	53.05	5.50	1.22	9.92	Tank
Junkrat	16.92	5.84	44	9006	0	0	44	2.34	51.05	2.97	2.35	9.65	DPS
Juno	14.14	5.60	57	4391	8179	0	57	8.45	52.70	4.91	0.28	3.19	Support
Kiriko	9.35	3.78	62	3252	8118	1	2	4.38	45.77	4.43	0.56	3.26	Support
Lifeweaver	6.12	2.73	53	1670	9411	0	53	1.30	45.71	5.02	0.28	1.48	Support
Lucio	13.58	5.51	84	4047	6785	1	24	1.80	50.65	3.81	0.74	4.04	Support
Mauga	19.92	8.24	102	11654	1859	1	42	0.88	47.82	5.01	0.87	8.29	Tank
Mei	17.01	6.88	80	7132	1184	1	20	1.81	48.87	3.74	1.11	7.18	DPS
Mercy	2.27	0.80	48	456	9069	0	48	3.47	49.42	4.11	0.19	0.76	Support
Moira	19.14	7.95	74	5700	8195	1	14	3.91	47.40	5.80	0.73	5.06	Support
Orisa	18.37	8.01	106	8957	0	1	46	1.81	44.24	4.04	0.81	8.29	Tank
Pharah	19.52	5.99	36	8794	0	0	36	1.28	48.41	2.86	2.06	10.41	DPS
Ramattra	19.82	7.74	108	10241	0	1	48	1.46	48.41	4.10	0.95	8.81	Tank
Reaper	20.24	7.11	63	7962	1362	1	3	2.93	50.99	2.99	2.08	10.94	DPS
Reinhardt	16.22	5.50	99	7805	0	1	39	3.12	52.23	2.98	1.07	9.55	Tank
Roadhog	18.40	7.30	96	7888	4656	1	36	1.14	43.19	4.26	1.28	9.06	Tank
Sigma	18.59	7.79	109	9726	0	1	49	1.56	50.97	4.92	0.95	8.52	Tank
Sojourn	18.82	6.75	50	8768	0	0	50	1.75	44.61	3.32	1.23	8.24	DPS
Soldier: 76	19.67	7.12	48	9520	1356	0	48	3.43	48.07	3.15	1.50	9.15	DPS
Sombra	16.44	5.58	41	5391	585	0	41	1.89	46.19	3.31	1.95	7.87	DPS
Symmetra	18.72	7.70	59	7565	0	0	59	0.75	49.48	3.60	1.14	7.46	DPS
Torbjorn	18.73	7.03	46	9135	0	0	46	1.16	51.48	3.35	1.30	7.71	DPS
Tracer	18.17	5.85	54	6580	0	0	54	2.68	48.22	2.63	1.79	7.94	DPS
Venture	17.36	5.46	59	8276	0	0	59	1.29	51.10	2.68	1.90	8.98	DPS
Widowmaker	15.16	3.45	18	5972	0	0	18	2.42	48.02	2.49	4.23	10.31	DPS
Winston	19.84	6.26	93	7760	0	1	33	1.80	46.49	4.26	1.24	8.65	Tank
Wrecking Ball	16.82	6.68	101	7269	0	1	41	0.97	50.11	5.32	1.73	8.26	Tank
Zarya	19.99	8.57	104	8780	0	1	44	2.47	47.29	5.05	0.89	9.27	Tank
Zenyatta	14.70	5.59	59	5404	5810	0	59	2.03	50.14	5.57	1.04	5.15	Support
